Modell;Accuracy;Precision;Recall;F1-Score;Date
DeiT;81%;81%;82%;81%;2024-05-25 15:04:04.922385
Basic CNN;62%;67%;61%;58%;2024-05-25 15:10:38.579268
Basic CNN;51%;75%;51%;36%;2024-05-25 15:14:04.136218
Basic CNN;50%;25%;50%;33%;2024-05-25 15:22:59.754726
Basic CNN;53%;53%;53%;53%;2024-05-26 01:25:53.540573
ViT;83%;83%;83%;83%;2024-05-26 01:27:27.157725
ViT Lite;68%;69%;68%;68%;2024-05-26 01:30:49.389534
Basic CNN;49%;25%;49%;33%;2024-05-26 01:37:47.473393
ViT Lite;79%;79%;79%;79%;2024-05-26 01:40:12.669553
Basic CNN;49%;25%;49%;33%;2024-05-26 01:40:53.372535
InceptionV3;82%;83%;82%;82%;2024-05-26 01:46:32.313357
ViT Lite;75%;75%;75%;75%;2024-05-26 01:49:38.236966
Hybridmodel - ViT Lite - DeiT;74%;75%;74%;74%;2024-05-26 01:57:22.340973
Hybridmodel - ViT - DeiT;80%;80%;81%;80%;2024-05-26 02:00:04.143277
Hybridmodel - ViT Lite - DeiT;74%;75%;74%;74%;2024-05-26 02:10:56.522072
Basic CNN;78%;80%;78%;78%;2024-05-26 02:26:58.581761
Hybridmodel - ViT Lite - DeiT;82%;82%;82%;82%;2024-05-26 02:41:07.851124
Hybridmodel - ViT - DeiT;82%;82%;82%;82%;2024-05-26 02:57:04.507642
ViT Lite;68%;68%;68%;68%;2024-05-26 03:07:11.931416
ViT Lite;75%;75%;75%;75%;2024-05-26 03:09:31.738667
ViT Lite;75%;76%;75%;75%;2024-05-26 03:14:54.890492
ViT Lite;73%;73%;73%;73%;2024-05-26 03:18:59.513495
ViT Lite;68%;68%;68%;68%;2024-05-26 03:22:33.673203
